Technology,Number_of_Jobs
toxicology,2
toys,1
tp,348
tpa,17
tpi,3
tpm,9
tpo,2
tpp,6
tpump,1
tqm,8
trace link,1
trace32,1
tracing,2
track,117
tracking,114
trackwise,1
traction product strategy,1
tractor,41
tractor finance,1
tractor loan,1
trade,176
trade & forex,1
trade compliance,4
trade fairs,1
trade finance,27
trade finance operations,2
trade forex,2
trade marketing,11
trade marketing executive,1
trade marketing manager,1
trade operation,4
trade operations,3
trade processing,3
trade promotion,1
trade sales,13
trade settlements,4
trade support,5
trade union,1
trademark,5
trademarks,3
trader,2
trading,65
trading risk,1
trading system support,1
trai,1095
train,1094
trained,6
trainee,84
trainee business executive,1
trainee engineer,2
trainee medical representative,1
trainee seaman,2
trainee supervisor,2
trainees,2
trainer,325
trainers,4
trainers for pdp & quantitative aptitude- applied science department,1
training,715
training & development,5
training analysis,1
training and development,23
training co - ordinator,1
training coordination,8
training coordinator,7
training delivery,8
training development,1
training executive,5
training head,2
training management,27
training manager,10
training need analysis,7
training needs,33
training needs analysis,2
tram,3
trams,2
transaction advisory,3
transaction banking,12
transaction management,3
transaction processing,27
transaction services,3
transactional quality,3
transactional quality specialist,1
transactions,33
transcriber,1
transcription,20
transcriptionist,2
transfer agency,2
transfer pricing,25
transfer pricing compliance,1
transformation,60
transformer,6
transformers,4
transit visa,1
transition,33
transition lead,1
transition management,11
transition manager,1
transitions,1
translation,42
translation associate i,1
translator,12
transmission,12
transmission line,4
transmitter,1
transport,59
transport executive,1
transport management,18
transport management system,2
transport operations,2
transport supervisor,1
transportation,38
transporters,4
trauma,1
travel,207
travel admin,1
travel agencies,1
travel agency,4
travel agent,6
travel agent activities,2
travel agents,2
travel arrangements,12
travel booking,5
travel consultant,9
travel coordination,2
travel counsellor,1
travel counselor,2
travel desk,9
travel executive,5
travel industry,4
travel insurance,13
travel management,10
travel manager,1
travel operations,1
travel process,26
travel refund,1
travel sales,36
travel sales consultant,14
travel sales consultants,1
travelport,1
travels,2
travels packages,1
treasury,29
treasury management,5
treasury operations,3
trend,52
trend analysis,46
trend micro antivirus,1
trend micro firewall,1
trend micro vpn,1
trends,4
trial balance,14
tribunals,1
trigger,39
triggers,37
trims,2
tririga,1
trouble shooting,3
troubleshoot,699
troubleshooting,697
troubleshooting / debugging,1
troubleshooting skills,21
truck,3
truck loan,1
trucks,1
trust accounting,2
ts,2874
ts16949,1
tsa,9
tse,29
tsi,3
tsm,46
tso,330
tsql,2
tsr,28
tuning,237
turbine,8
turbines,1
turkish,1
turning,4
turning center,1
turnkey project management,1
turnkey projects,1
turnover,2
tutor,163
tutoring,7
tuxedo,1
tv,31
tv production,1
tware,1760
twitter,39
two wheeler loan,3
two wheeler loans,1
two wheeler sales,1
tws,2
typescript,2
typesetting,3
typewriting speed,1
typing,148
typing speed,27
typist,1
typography,18
tyres,2
uae,2
uart,16
uat,196
ubl,889
ubuntu,13
ubuntu linux,3
ucce,69
uclinux,1
ucm,6
ucp,2
ucs,5
udp,2
uds,13
uf,140
ufs,1
ug,467
ug nx,8
ui,2747
ui & ux developer (arizona),1
ui actions,1
ui architect,2
ui automation,3
ui design,25
ui designer,18
ui designer development,1
ui designing,1
ui developer,26
ui development,104
ui engineer,1
ui pages,1
ui testing,7
uipath,2
uit testing,1
uk,174
uk calling,1
uk gaap,4
uk process,49
uk shifs,1
uk shift,51
uk shifts,4
uk staffing,1
uk tax,1
ul,2336
ultra hni,4
ultrasonic testing,1
ultrasound,10
uml,66
umts,8
unclaimed funds,1
under graduate,12
undergraduate,44
undergraduates,2
understanding,13
underwriter,5
underwriting,47
unica,1176
unified communications,6
unigraphics,4
unigraphics nx,1
unilever,1
union,5
union management,1
unit,379
unit head,4
unit manager,13
unit manager - investment,1
unit operations,3
unit sales manager,1
unit test,233
unit testing,231
unit tests,1
united kingdom shift,1
unity 3d,1
unity server,1
unity voicemail,1
unity3d,5
university,16
university professors,2
unix,450
unix / linux,1
unix administration,2
unix administrator,4
unix developer,1
unix internals,3
unix operating system,4
unix scripting,14
unix shell scripting,54
unix sql production support,1
unmet needs,1
unsecured,9
unsecured bl,1
unsecured business loan,1
unsecured loans,9
unsecured personal loan,1
unsecured pl,1
up,3311
up selling,18
update manager,1
upgradation,1
upgrade,8
upholstery,1
uplc,4
ups,160
upsell,53
upselling,47
upstream,1
urban,3
urban design,1
urban planning,1
urbancode,1
urc,1330
urdu,2
urgent requiremnt of software tester,1
urologist,2
urology,5
urr,71
us,8341
us accent,1
us accounting,3
us benefits,1
us bpo,1
us calling,1
us collections,2
us gaap,37
us health care,1
us healthcare,33
us hr,1
us inbound,2
us it recruiter,23
us it recruitment,55
us it staffing,25
us market,5
us mortgage,11
us operations,1
us payroll,4
us process,42
us recruiter,18
us recruitment,46
us sales,9
us shift,361
us shifts,10
us staffing,48
us tax,8
us taxation,2
us technical recruiter,9
us visa,3
us voice,1
usa,241
usa operations,1
usability,42
usability testing,14
usage,194
usb,42
use cases,12
used auto,1
used automobiles,1
used car sales,1
used vehicle,1
user,268
user acceptance,47
user acceptance testing,45
user administration,4
user documentation,2
user exit,8
user exits,7
user experience,49
user experience design,12
user experience designer,3
user interaction,9
user interface,92
user interface design,69
user interface designer,3
user interface designing,66
user interface developer,5
user interface development,1
user management,8
user provisioning,1
user research,18
user stories,15
user support,7
user training,5
usfda,3
usg,3
usgaap,1
ut,7702
utilities,7
utilities maintenance,1
utility,12
utility maintenance,8
utility management,1
utility services,1
utilization,7
utm,6
utp cables,1
uv,37
uv - vis spectrophotometer,1
uvm,30
uwave circuit,1
uwp,1
ux,1072
ux designer,12
ux lead,1
v,17482
v - model,1
v lookup,1
vaadin,3
vaccines,3
vacuum pumps,1
validation,53
valuation,83
valuation analysis,4
valuation models,1
value added services,3
value analysis,2
value engineering,12
value ing,1
value stream mapping,2
valves,15
vap,7
vapt,6
var,61
variance analysis,51
vas,2264
vascular,9
vat,271
vat audit,6
vat return,2
vault,3
vave,1
vb,190
vb .net,3
vb 6.0,1
vb dotnet,1
vb net,14
vb script,12
vb scripting,1
vb.net,71
vb.net developer,1
vb6,1
vba,36
vba developer,4
vblock,1
vbs,3
vbscript,2
vc,793
vc++,10
vcenter,5
vcloud,3
vcs,2
vd,4
vdi,1
ve,11038
vector,2
vectorcast,1
vehicle,38
vehicle engineering,1
vehicle integration,1
vehicle loan,9
vehicle loans,7
vehicle maintenance,1
vehicle management,1
vehicle testing,1
vehicle tracking,1
velocity,3
vendor,453
vendor assessment,1
vendor audit,4
vendor audits,3
vendor coordination,10
vendor development,60
vendor evaluation,3
vendor management,287
vendor manager,5
vendor master,5
vendor negotiation,2
vendor payments,16
vendor qualification,1
vendor quality,1
vendor rating,2
vendor reconciliation,12
vendor relations,5
vendor relationship management,2
vendor selection,2
vendors,2
ventilation,9
venture capital,8
vera,29
verbal,129
verbal communication,98
verbal english,1
verification,91
verification engineer,1
verilog,62
verint,2
veritas,18
veritas cluster,4
veritas netbackup,2
verizon,1
verl communication,1
vernier,1
version control,76
vertex,1
vertica,5
vertical,3
vertical head,1
vessels,12
vet,11
veterinary,7
veterinary doctor,1
vetting,4
vfd,7
vfd drives,1
vfds,2
vfmbvtjtvb,1
vfx,15
vhdl,20
vice president,22
vice president engineering,1
vice president hr,1
video,60
video codec,2
video codecs,1
video conference,2
video conferencing,7
video content editor,1
video editing,33
video editor,7
video games,1
video production,2
video proof reading,1
videography,3
views,55
vignette,1
villas,4
vim,1
vio,18
vip,1
viral marketing,2
virbac,1
virology,1
virtual private network,1
virtual reality,1
virtual sales,1
virtual selling,1
virtualbox,1
virtualization,106
virtuoso,14
visa,43
visa counselling,6
visa counsellor,1
visa officer,1
visa processing,11
visio,181
vision,148
vision plus,5
visionplus,1
vista,2
vistex,1
visual,363
visual basic,25
visual basic application,1
visual basic net,1
visual basic.net,3
visual c,5
visual c++,1
visual communication,3
visual design,46
visual designer,1
visual effects,16
visual force,3
visual merchandise,3
visual merchandiser,2
visual merchandising,24
visual sic,1
visual studio,101
visual studiosoftware development life cycle,1
visualforce,43
visualiser,30
visualisers,2
visualization,64
visualizer,1
visualizing,5
vlan,18
vlookup,29
vlr,1
vlsi,18
vlsi design,1
vm,229
vmax,2
vmc,20
vmc machine,4
vmc operator,6
vmc programmer,1
vmc programming,5
vmm,6
vmotion,2
vms,17
vmware,112
vmware administrator,6
vmware backups,1
vmware esx,2
vmware infrastructure,1
vmware server,1
vmware vcenter,2
vmware vsphere,6
vmware/hyperv,1
vna,1
vodafone,2
voice,1202
voice & accent based process,1
voice & accent trainer,2
voice & accent training,1
voice & soft skills trainer,1
voice & soft skills training,1
voice & soft skills training manager,1
voice accent trainer,1
voice agents (pas-924-n1c),1
voice associate,1
voice based process,20
voice calling,2
voice coach,3
voice gateways,3
voice overs,1
voice process,943
voice process associate,1
voice process bpo outbound ites night shift service english windows support comp business executive,1
voice process bpo outbound night shift service english sales process windows support comp business executive,1
voice process executive,1
voice process sales,1
voice support,70
voice trainer,2
voip,37
voip engineer,1
volte,4
volume,26
volume hiring,26
voucher entry,2
vouchers,8
vp,92
vp finance,1
vp hr,1
vp sales,1
vpm,1
vpn,59
vpn implementation,1
vpn server,1
vr,45
vray,15
vrm,1
vrops,1
vrrp,5
vs,108
vs.,1
vsam,14
vsat,1
vsd,1
vsm,1
vsphere,9
vss,2
vsts,7
vt,22
vtl,3
vtp,5
vtvt,1
vue,1
vue.js,1
vulnerability,35
vulnerability assessment,19
vulnerability management,9
vxml,1
vxvm,1
vxworks,9
w2,37
w3c,6
waf,1
wage administration,3
wages,3
waiter,7
waiter activities,3
waitress,1
walkin,2
walkin interview,1
wallpaper,1
walmart,2
wamp,9
wan,69
wap,12
wards,22
warehouse,119
warehouse assistant,1
warehouse executive,2
warehouse management,44
warehouse management system,5
warehouse manager,2
warehouse operations,27
warehouse supervisor,1
warehousing,106
warranty,8
warranty handling,1
warranty management,1
was,39
was admin,1
was administration,1
was administrator,1
wastage control,3
waste,19
waste management,5
waste water,12
waste water treatment,11
water,51
water analysis,1
water projects,1
water quality,2
water supply,5
water system,2
water tester,1
water testing,1
water treatment,22
water treatment plant,5
water validation,1
waterfall,10
waterfall model,1
waterproofing,4
watson,2
watson implementation,1
wbs,3
wbt,4
wbts,1
wc,218
wcdma,2
wcf,202
wcf services,4
wcm,3
wcs,7
wcs developer,1
wcs v8,1
wct,3
wealth,97
wealth advisor,4
wealth advisory,1
wealth management,79
